GENSPECIES,Family
Serratella sp.,Ephemerellidae
Undetermined Ephemerellidae,Ephemerellidae
Ephemera guttulata,Ephemeridae
Ephemera sp.,Ephemeridae
Hexagenia sp.,Ephemeridae
Litobrancha recurvata,Ephemeridae
Litobrancha sp.,Ephemeridae
Undetermined Ephemeridae,Ephemeridae
Agapetus sp.,Glossosomatidae
Culoptila sp.,Glossosomatidae
Glossosoma sp.,Glossosomatidae
Protoptila sp.,Glossosomatidae
Undetermined Glossosomatidae,Glossosomatidae
Goera sp.,Goeridae
Undetermined Goeridae,Goeridae
Gomphus sp.,Gomphidae
Hagenius sp.,Gomphidae
Lanthus parvulus,Gomphidae
Lanthus sp.,Gomphidae
Lanthus vernalis,Gomphidae
Ophiogomphus carolus,Gomphidae
Ophiogomphus sp.,Gomphidae
Stylogomphus albystilus,Gomphidae
Stylogomphus sp.,Gomphidae
Stylurus sp.,Gomphidae
Undetermined Gomphidae,Gomphidae
Dineutus sp.,Gyrinidae
Gyrinus sp.,Gyrinidae
Undetermined Gyrinidae,Gyrinidae
Haliplus sp.,Haliplidae
Peltodytes sp.,Haliplidae
Undetermined Haliplidae,Haliplidae
Helicopsyche borealis,Helicopsychidae
Helicopsyche sp.,Helicopsychidae
Undetermined Helicopsychidae,Helicopsychidae
Cinygmula sp.,Heptageniidae
Cinygmula subaequalis,Heptageniidae
Epeorus (Iron) sp.,Heptageniidae
Epeorus sp.,Heptageniidae
Epeorus vitreus,Heptageniidae
Heptagenia culacantha,Heptageniidae
Heptagenia flavescens,Heptageniidae
Heptagenia marginalis,Heptageniidae
Heptagenia pulla gr.,Heptageniidae
Heptagenia sp.,Heptageniidae
Leucrocuta sp.,Heptageniidae
Nixe (Nixe) sp.,Heptageniidae
Rhithrogena sp.,Heptageniidae
Stenacron carolina,Heptageniidae
Stenacron interpunctatum,Heptageniidae
Stenacron sp.,Heptageniidae
Stenonema exiguum,Heptageniidae
Stenonema femoratum,Heptageniidae
Stenonema ithaca,Heptageniidae
Stenonema luteum,Heptageniidae
Stenonema mediopunctatum,Heptageniidae
Stenonema meririvulanum,Heptageniidae
Stenonema mexicanum integrum,Heptageniidae
Stenonema modestum,Heptageniidae
Stenonema pulchellum,Heptageniidae
Stenonema sp.,Heptageniidae
Stenonema terminatum,Heptageniidae
Stenonema vicarium,Heptageniidae
Undetermined Heptageniidae,Heptageniidae
